hn_id,timepoint,component,stage,filename,url,selected_for_frozen_pair_set
HN26,pre,matrix,matrix,GSE288199_HN26_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN26_pre_T_matrix.mtx.gz,True
HN27,post,barcodes,metadata,GSE288199_HN27_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN27_post_T_barcodes.tsv.gz,True
HN27,post,features,metadata,GSE288199_HN27_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN27_post_T_features.tsv.gz,True
HN27,post,matrix,matrix,GSE288199_HN27_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN27_post_T_matrix.mtx.gz,True
HN27,pre,barcodes,metadata,GSE288199_HN27_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN27_pre_T_barcodes.tsv.gz,True
HN27,pre,features,metadata,GSE288199_HN27_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN27_pre_T_features.tsv.gz,True
HN27,pre,matrix,matrix,GSE288199_HN27_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN27_pre_T_matrix.mtx.gz,True
HN28,post,barcodes,metadata,GSE288199_HN28_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN28_post_T_barcodes.tsv.gz,True
HN28,post,features,metadata,GSE288199_HN28_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN28_post_T_features.tsv.gz,True
HN28,post,matrix,matrix,GSE288199_HN28_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN28_post_T_matrix.mtx.gz,True
HN28,pre,barcodes,metadata,GSE288199_HN28_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN28_pre_T_barcodes.tsv.gz,True
HN28,pre,features,metadata,GSE288199_HN28_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN28_pre_T_features.tsv.gz,True
